id,host_id,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
8194959,11394453,1/17/14,t,1,1,t,District 2,32.83716,-96.82378,Entire guest suite,Entire home/apt,2,1,0,1,$100.0,3,7,3,3,1125,1125,3,1125,t,24,49,79,79,396,35,2,1/31/16,2/12/24,4.89,4.97,4.79,5,4.99,4.96,4.9,f,1,1,0,0,4.03
8311622,40543093,8/4/15,f,1,1,f,District 14,32.81073,-96.81068,Private room in home,Private room,2,1,1,1,$90.0,2,1125,2,2,1125,1125,2,1125,t,30,55,85,360,34,0,0,9/28/15,10/9/21,4.91,4.94,4.94,4.91,5,4.91,4.82,t,1,0,1,0,0.33
8452797,27100767,2/2/15,f,1,1,t,District 9,32.85106,-96.70795,Entire bungalow,Entire home/apt,4,2,2,2,$175.0,30,60,4,4,60,60,4,60,t,0,16,21,174,90,9,0,10/18/15,12/27/23,4.99,4.98,5,5,4.99,4.97,4.97,f,1,1,0,0,0.89
8513649,13030399,3/11/14,t,5,7,f,District 1,32.74825,-96.82864,Entire home,Entire home/apt,6,2,3,4,$179.0,2,1125,2,2,1125,1125,2,1125,t,19,27,53,128,322,45,3,12/1/15,2/11/24,4.97,4.98,4.98,4.96,4.95,4.91,4.93,f,5,5,0,0,3.21
8568055,38961725,7/19/15,t,1,1,t,District 14,32.82246,-96.76485,Entire guesthouse,Entire home/apt,2,1,1,1,$77.0,7,1125,7,7,1125,1125,7,1125,t,1,1,1,1,41,6,1,10/19/15,1/31/24,4.71,4.86,4.88,4.76,4.74,4.86,4.76,f,1,1,0,0,0.4
8629270,45385076,9/29/15,f,1,1,t,District 12,32.97356,-96.78553,Entire home,Entire home/apt,8,3,4,6,$232.0,2,14,2,2,1125,1125,2,1125,t,27,50,80,170,17,2,0,9/29/19,11/5/23,4.76,4.94,4.41,5,4.94,4.94,4.71,f,1,1,0,0,0.32
8716333,27296534,2/6/15,f,1,1,t,District 11,32.95742,-96.8076,Private room in rental unit,Private room,3,1,1,1,$71.0,2,1125,2,2,1125,1125,2,1125,t,29,59,89,364,45,0,0,10/14/15,4/6/18,4.89,4.91,4.91,4.98,4.95,4.84,5,f,1,0,1,0,0.44
8731213,45814261,10/5/15,t,2,2,t,District 14,32.82166,-96.79399,Entire condo,Entire home/apt,2,1.5,1,1,$165.0,30,1125,30,30,1125,1125,30,1125,t,0,0,21,296,27,0,0,10/11/15,12/31/22,4.93,5,4.78,5,5,5,4.85,f,2,2,0,0,0.26
8742873,45865766,10/5/15,t,1,1,t,District 12,33.00763,-96.83379,Private room in home,Private room,2,1,1,1,$59.0,3,730,3,3,730,730,3,730,t,17,43,73,348,76,5,0,10/24/15,12/2/23,4.92,4.96,4.96,4.99,4.97,4.97,4.93,f,1,0,1,0,0.75
8828756,46242681,10/10/15,t,1,1,f,District 14,32.81317626,-96.76728383,Entire home,Entire home/apt,6,1,2,3,$159.0,1,365,1,2,365,365,1.9,365,t,0,0,0,0,12,12,2,8/22/23,2/11/24,4.62,4.54,4.77,4.77,4.77,4.77,4.69,f,1,1,0,0,1.94
9075727,40907479,8/8/15,t,7,7,t,District 13,32.85627,-96.84056,Entire guesthouse,Entire home/apt,2,1,1,1,$99.0,3,7,3,3,7,7,3,7,t,9,21,46,321,229,0,0,9/19/16,6/24/22,4.93,4.97,4.85,4.98,4.99,4.98,4.91,f,7,7,0,0,2.53
9094457,6063232,4/23/13,f,9,11,t,District 14,32.818684,-96.790154,Entire rental unit,Entire home/apt,3,1,1,1,$101.0,3,1125,3,3,1125,1125,3,1125,t,0,14,44,268,23,1,0,12/24/15,10/8/23,4.74,4.91,4.65,5,4.96,4.96,4.52,t,9,9,0,0,0.23
9294481,2017907,3/27/12,t,1,1,t,District 14,32.83198,-96.77129,Entire rental unit,Entire home/apt,2,1,1,1,$135.0,31,1125,31,31,1125,1125,31,1125,t,0,0,0,51,29,1,0,4/8/16,1/5/24,4.79,4.86,4.97,4.9,4.86,5,4.83,f,1,1,0,0,0.3
9300551,5096616,2/15/13,f,1,1,t,District 14,32.82201,-96.75809,Entire bungalow,Entire home/apt,4,2,2,2,$105.0,30,90,30,30,90,90,30,90,t,0,0,0,31,24,0,0,1/18/16,8/31/22,4.75,4.79,4.42,5,4.96,4.96,4.92,f,1,1,0,0,0.24
9415835,48821106,11/12/15,t,1,1,t,District 14,32.81272,-96.76833,Entire home,Entire home/apt,2,1,1,1,$85.0,2,7,2,2,7,7,2,7,t,20,50,80,304,92,9,0,12/15/15,12/11/23,4.86,4.88,4.87,4.96,4.95,4.96,4.87,f,1,1,0,0,0.92
9462838,49028930,11/14/15,t,16,17,t,District 2,32.808,-96.81287,Entire rental unit,Entire home/apt,2,1,1,1,$65.0,30,365,30,30,365,365,30,365,t,0,0,4,205,27,5,1,10/2/16,2/16/24,4.93,4.93,4.67,4.96,4.96,5,4.93,f,9,8,1,0,0.3
9759515,20205060,8/18/14,t,3,3,t,District 14,32.81596,-96.81054,Entire guesthouse,Entire home/apt,2,1,1,1,$126.0,2,180,2,2,1125,1125,2,1125,t,13,35,60,320,472,39,3,3/13/16,2/11/24,4.95,4.95,4.98,4.94,4.97,4.89,4.92,f,3,3,0,0,4.88
10037035,49028930,11/14/15,t,16,17,t,District 2,32.808,-96.81287,Entire rental unit,Entire home/apt,2,1,0,1,$64.0,30,365,30,30,365,365,30,365,t,2,24,54,83,42,4,0,5/7/16,1/6/24,4.9,4.9,4.76,5,5,4.98,4.76,f,9,8,1,0,0.44
10037226,49028930,11/14/15,t,16,17,t,District 2,32.808,-96.81287,Entire condo,Entire home/apt,2,1,1,1,$62.0,30,365,30,30,365,365,30,365,t,3,3,22,209,22,1,0,7/30/16,4/30/23,4.73,4.82,4.41,5,4.95,5,4.73,f,9,8,1,0,0.24
10042361,49028930,11/14/15,t,16,17,t,District 2,32.808,-96.81287,Entire rental unit,Entire home/apt,2,1,1,1,$54.0,30,365,30,30,365,365,30,365,t,0,1,27,221,26,4,0,6/2/16,12/6/23,4.69,4.92,4.65,4.96,4.92,4.96,4.65,f,9,8,1,0,0.28
10306419,12993311,3/10/14,f,4,4,t,District 2,32.79916,-96.75921,Private room in home,Private room,2,1,1,1,$70.0,5,100,5,5,100,100,5,100,t,12,36,66,341,46,2,0,3/8/16,11/9/23,4.85,4.83,4.74,4.93,4.96,4.89,4.87,f,4,0,4,0,0.47
10313293,53066413,1/2/16,f,1,1,f,District 9,32.84257,-96.74007,Entire rental unit,Entire home/apt,2,1,1,2,$84.0,30,1125,30,30,1125,1125,30,1125,t,0,17,31,228,136,1,1,1/18/16,1/31/24,4.93,4.94,4.88,4.99,4.99,4.9,4.93,f,1,1,0,0,1.38
10354464,27836510,2/16/15,t,1,2,t,District 14,32.80187,-96.75521,Entire home,Entire home/apt,4,1,1,2,$110.0,2,1125,2,2,1125,1125,2,1125,t,23,46,76,303,151,13,1,2/23/16,1/30/24,4.98,4.98,5,4.99,5,4.89,4.96,f,1,1,0,0,1.55
10593020,6211771,5/3/13,f,1,1,t,District 9,32.80852,-96.71359,Entire rental unit,Entire home/apt,3,1,1,1,$84.0,28,1125,28,28,1125,1125,28,1125,t,0,0,16,98,41,6,1,2/3/16,1/31/24,5,4.98,5,5,5,4.93,5,f,1,1,0,0,0.42
10766446,10603454,12/13/13,t,1,1,t,District 9,32.81443,-96.70419,Entire guesthouse,Entire home/apt,4,1,1,1,$66.0,1,90,1,3,1125,1125,1.6,1125,t,0,0,0,0,61,33,2,3/20/22,2/2/24,4.81,4.74,4.79,4.81,4.87,4.84,4.9,f,1,1,0,0,2.59
11136470,1237905,10/2/11,t,1,3,t,District 10,32.88142,-96.73385,Entire condo,Entire home/apt,2,1,1,1,$90.0,7,180,14,14,180,180,14,180,t,0,0,0,203,51,4,0,2/23/16,1/4/24,4.86,4.92,4.78,5,5,4.74,4.8,f,1,1,0,0,0.52
11370969,21699077,9/23/14,t,9,9,t,District 2,32.79873,-96.77395,Entire rental unit,Entire home/apt,2,1,1,1,$92.0,30,1125,30,30,1125,1125,30,1125,t,13,27,27,27,71,4,0,4/1/16,10/1/23,4.77,4.79,4.86,4.89,4.9,4.76,4.74,t,2,2,0,0,0.74
